Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
alpha,avon,"raspberry, blood orange, litchi","floral notes, honeysuckle","woody notes, cashmeran",fruity,woody,sweet,citrus,floral
caribbean-paradise,avon,hibiscus,mango,"woody notes, amber",tropical,floral,fruity,sweet,woody
aspire-impress,avon,apricot,jasmine sambac,amber,amber,fruity,white floral,powdery,animalic
femme-exclusive,avon,"liquor, pear, black currant, kumquat","vanilla, heliotrope, jasmine, magnolia","black vanilla husk, musk, sandalwood",vanilla,fruity,powdery,floral,sweet
scentini-nights-emerald-sparkle,avon,"champagne, green apple, guava","sweet pea, syringa, jasmine","vanilla, sandalwood, woodsy notes",fruity,champagne,fresh,aldehydic,vanilla
surreal-island,avon,red fruits,"freesia, peony, jasmine",tonka bean,floral,fresh,fruity,white floral,sweet
park-avenue-south,bond-no-9,green apple,"peach, jasmine","musk, amber",fruity,fresh,musky,powdery,green
spring-fling,bond-no-9,"fruity notes, passion flower, lily-of-the-valley","honeysuckle, jasmine, freesia","musk, amber, teak wood",white floral,fruity,floral,musky,sweet
kisses-don-t-lie,by-kilian,"pink pepper, bergamot","grasse rose, dark chocolate, violet, violet leaf","raspberry, myrrh, papyrus",rose,sweet,fruity,floral,chocolate
deep-euphoria,calvin-klein,"white pepper, cascalone, mandarin leaf","black rose, peony, geranium, jasmine sambac","patchouli, woody notes, musk",rose,woody,fresh spicy,patchouli,warm spicy
see-by-chloe-eau-fraiche,chloe,apple blossom,"water hyacinth, jasmine",vetiver,floral,aromatic,woody,aquatic,earthy
tea,commodity,"citruses, sicilian lemon, bergamot","lily-of-the-valley, freesia, jasmine sambac","white musk, sandalwood",citrus,fresh,white floral,musky,floral
red-door-25-eau-de-parfum,elizabeth-arden,"blackberry, raspberry, cassis","flowers, violet leaf","honey, musk, patchouli, sandalwood",fruity,sweet,floral,woody,honey
beautiful-magnolia-intense,estee-lauder,"violet leaf, mandarin orange, cardamom","iris, magnolia, patchouli","musk, leather, vanilla bean, virginia cedar",powdery,iris,woody,floral,musky
pure-white-linen-pink-coral,estee-lauder,"apple blossom, pink pepper","cherry blossom, peony, jasmine","heliotrope, sandalwood, vanilla",floral,fresh,powdery,soft spicy,vanilla
rouge-hermes-eau-delicate,hermes,"aldehydes, ylang-ylang","rose, vanilla","labdanum, amber, cedar",amber,woody,aldehydic,rose,yellow floral
pleats-please,issey-miyake,pear,"sweet pea, peony, indole","white musk, vanilla absolute, patchouli, cedar",floral,sweet,fresh,fruity,white floral
yara-moi,lattafa-perfumes,"jasmine, peach","caramel, amber","patchouli, sandalwood",woody,patchouli,caramel,white floral,warm spicy
clair-matin,les-parfums-de-rosine,"amalfi lemon, cassis, raspberry leaf","chamomile, rose, violet, peony","apricot, sandalwood, musk, amber",aromatic,fruity,floral,citrus,rose
sundance,memo-paris,"pear, bergamot, lemon","tuberose, tiare flower, iris, pimento","sandalwood, musk, tonka bean",white floral,tuberose,fruity,sweet,powdery
kaiak-vital,natura,"pitanga, pomelo, lemon, styrax","sea notes, peony, jasmine, rose","cedar, cashmeran, amber, coumarin, sandalwood",marine,aromatic,citrus,woody,amber
capricho-day,o-boticario,"pear, apricot, mandarin orange, lime","lily-of-the-valley, freesia, orchid, iris","musk, amber, cedar, vetiver",citrus,fruity,sweet,floral,white floral
chastity-women,rasasi,"water notes, green notes, amalfi lemon","jasmine, african orange flower, rose",musk,white floral,citrus,aquatic,green,musky
rumz-al-rasasi-9325-pour-elle,rasasi,"violet leaf, cloves","cedar, iris","musk, patchouli, amber, sandalwood, vanilla",woody,powdery,musky,warm spicy,iris
hilfiger-woman-cheerfully-pink,tommy-hilfiger,"litchi, blackberry, mandarin orange, cloves","rose, magnolia, ylang-ylang, jasmine","vanilla, musk, sandalwood, cedar, patchouli",fruity,floral,rose,sweet,tropical
flowerparty-by-night,yves-rocher,mandarin orange,"licorice, star anise, floral notes","bourbon vanilla, bitter almond",soft spicy,vanilla,sweet,almond,nutty
holistic-flow,zara,passionfruit,orange blossom,musk,musky,white floral,sweet,tropical,fruity
01-red-vanilla,zara,"raspberry, tangerine","red peony, iris",vanilla,floral,fruity,sweet,fresh,iris
indigo-mohair,zara,pear,rose,cedar,rose,woody,fruity,sweet,aquatic
dream,shakira,"blood orange, pink pepper","caramel, rose","vanilla, musk",citrus,caramel,sweet,vanilla,musky
northern-glow,oriflame,"cherry, melon, raspberry","red rose, peony, orange blossom","hazelnut, musk, amber",nutty,sweet,fruity,woody,cherry
lucia,oriflame,"magnolia, amalfi lemon, black currant, ivy, mandarin orange","jasmine, hyacinth, orchid, rose, violet","peach, sandalwood, musk, woody notes, blackberry, damask plum",floral,citrus,white floral,fruity,woody
volare-moments,oriflame,"grasse rose, violet leaf, pear","peony, osmanthus, magnolia, freesia","iris, musk, sandalwood, cedar",floral,rose,powdery,iris,aquatic
morgan-de-toi,morgan,"blueberry, pink pepper","crystal amber, jasmine, nectarine","patchouli, musk, agarwood (oud)",fruity,sweet,musky,soft spicy,amber
krizia-donna-istinto,krizia,"sunflower, magnolia, lily-of-the-valley","lily, honeysuckle, rose","musk, patchouli, amber, cedar",white floral,floral,unknown,unknown,unknown
time-woman,krizia,"wild rose, hyacinth, bergamot, neroli","pimento, green leaves, carnation","musk, cashmere wood, oakmoss, vanilla",green,floral,rose,warm spicy,musky
wildbloom-rouge,banana-republic,"green apple, plum, clementine","magnolia, freesia petals, jasmine","cashmere musk, amber, sandalwood",fruity,floral,citrus,sweet,musky
scent-of-kiss,armand-basi,"strawberry, pear, grapefruit, apple","rose, peach blossom, jasmine, orange blossom","vanilla, patchouli, sandalwood, cedar",fruity,sweet,vanilla,citrus,unknown
diavolo,antonio-banderas,"green leaves, mandarin orange, violet leaves","cinammon, jasmine, rose","sandalwood, moss, natural vanilla",green,warm spicy,woody,cinnamon,citrus
angel-schlesser-femme-adorable,angel-schlesser,"citruses, bergamot, green apple","grasse rose, violet, jasmine sambac","musk, vanilla, sandalwood",powdery,citrus,rose,musky,fresh
essence-of-united-colors-of-benetton-woman,benetton,"peach, orange, bergamot","freesia, jasmine, rose","patchouli, vetiver, musk",citrus,woody,floral,patchouli,fruity
colors-de-benetton-woman-pink,benetton,"passionfruit, tangerine, bergamot","rose, orange blossom, jasmine","musk, patchouli, vanilla, woody notes, amber",citrus,white floral,rose,musky,sweet
forever-mine-for-women,chevignon,"red berries, rose, citron","lotus, jasmine, freesia","patchouli, musk, sandalwood",woody,patchouli,floral,warm spicy,musky
beauty-cafe-caprice,faberlic,"wild berries, peach, mandarin orange","gardenia, jasmine","vanilla, sandalwood, musk, amber",fruity,woody,powdery,vanilla,white floral
f-lovers,faberlic,"ozonic notes, lime, chamomile","water lily, green tea, bellflower","cedarwood, sandal, akigalawood",floral,ozonic,woody,citrus,fresh
be-wonderfully-you,iceberg,"ginger, bergamot, raspberry, red fruits sorbet","jasmine, peony","amber, sandalwood, cedar",woody,warm spicy,amber,citrus,powdery
mexx-pure-for-her,mexx,pomegranate,"lotus, tiare flower","vanilla, sandalwood",woody,floral,white floral,vanilla,fruity
miss-boucheron,boucheron,"pink pepper, pomegranate, bergamot","bulgarian rose, cyclamen, violet","white suede, musk, virginian cedar, iris",woody,powdery,musky,floral,rose
glamour-lovely,bourjois,fruity notes,"turkish rose, jasmine sambac",musk,rose,musky,fruity,sweet,white floral
leila-lou,by-rosie-jane,"grass, nectarine","pear blossom, jasmine","white musk, vanilla",fresh,floral,green,white floral,fruity
signature,celine-dion,"mimosa, red apple, guava","magnolia, rose, jasmine","sandalwood, woodsy notes, musk, amber",floral,fruity,powdery,woody,yellow floral
rose-de-courreges,courreges,"pink grapefruit, bamboo leaf, peach","rose, cherry blossom, violet","lotus, musk, amber",floral,rose,citrus,powdery,fruity
dkny-my-ny,donna-karan,"raspberry, pink pepper, galbanum","egyptian jasmine, freesia, orris root","patchouli, vanilla absolute, musk, ambergris",sweet,fruity,patchouli,musky,soft spicy
dkny-be-delicious-city-nolita-girl,donna-karan,raspberry,"magnolia, violet",sandalwood,floral,fruity,violet,powdery,sweet
fable,ellis-brooklyn,"neroli, black currant","honeysuckle, petitgrain, violet","cedar, amber",white floral,citrus,fruity,woody,green
blue,franck-olivier,"passionfruit, peach, mandarin orange, raspberry, black currant","freesia, jasmine, rose","musk, sandalwood, amber",fruity,sweet,tropical,floral,fresh
black-princess,haute-fragrance-company-hfc,"ylang-ylang, neroli, violet","rose, cardamom, ginger","mate, ambergris, musk",warm spicy,yellow floral,aromatic,rose,floral
proposal,haute-fragrance-company-hfc,"sweet almond, litchi, black currant, bergamot","heliotrope, black tea, dried fruits, jasmine sambac, italian jasmine","white musk, iris, tonka bean, teak wood, vanilla, patchouli",powdery,fruity,almond,vanilla,musky
secrets-de-volupte,id-parfums,"pear, bergamot, freesia","magnolia, jasmine","musk, cedar, amber",floral,fruity,citrus,sweet,aquatic
wild-berries,keiko-mecheri,"blackberry, black currant","raspberry, cassis","white musk, woody notes",fruity,sweet,woody,musky,unknown
crystal-peach,kkw-fragrance,"peach, chamomile, bergamot","rose, lotus, jasmine","musk, sandalwood, vanilla",floral,rose,fruity,herbal,white floral
crystal-vanilla,kkw-fragrance,"sugar, fruits, wild berries, orange","vanilla, honeysuckle, poinsettia","vanilla, cacao, benzoin",vanilla,sweet,fruity,cacao,warm spicy
laura-rose,laura-biagiotti,"cassis, black currant, orange, amalfi lemon","rose, wheat, freesia","patchouli, musk",rose,citrus,fruity,floral,woody
aqua-di-roma,laura-biagiotti,"bergamot, lemon, black currant","mimosa, magnolia, honeysuckle, tuberose, jasmine, rose","sandalwood, musk, amber, vanilla",citrus,floral,white floral,powdery,yellow floral
extatic-eau-de-toilette,pierre-balmain,"litchi, black currant, green mandarin","turkish rose, magnolia, jasmine","musk, ambroxan, cedar",fruity,floral,rose,citrus,musky
royal-marina-rubis,princesse-marina-de-bourbon,"guava, lemon, orange","peony, rose, mimosa, jasmine, heliotrope","musk, sandalwood, amber",floral,citrus,powdery,rose,fresh
dreams-unlimited,the-body-shop,"black currant, orange","iris, green pepper, red chilli pepper",virginia cedar,woody,iris,fruity,green,aromatic
glowing-cherry-blossom,the-body-shop,japanese cherry blossom,osmanthus,sandalwood,floral,fruity,woody,fresh,powdery
nonchalance,maurer-wirtz,"aldehydes, green leaves, raspberry","jasmine, lily-of-the-valley, rose, violet, orris root, geranium","musk, tonka bean, sandalwood, oakmoss, cedar, amber",aldehydic,fresh,white floral,powdery,woody
divine-moon,tory-burch,"bergamot, rhubarb","lady of the night flower, honey","sandalwood, almond milk",white floral,honey,sweet,citrus,woody
early-roses,teo-cabanel,"rose, water notes, jasmine","bulgarian rose, pink pepper, jasmine","musk, amber, woody notes",rose,musky,soft spicy,aquatic,floral
b-u-golden-kiss,sarantis,"pear, bergamot, apple","jasmine, violet leaf, plum","sandalwood, vanilla, musk",fruity,white floral,sweet,aquatic,fresh
c-thru-blooming,sarantis,"big strawberry, pineapple, pear","orange blossom, honeysuckle, tea","vanilla, musk, sandalwood",fruity,sweet,white floral,powdery,vanilla
intimity,pacoma,"peach, pepper, orange blossom, bergamot","orchid, cloves, cinnamon, rose","tonka bean, musk, sandalwood",warm spicy,sweet,fresh spicy,fruity,floral
alma-pure,moresque,"blackberry, cassis","may rose, champagne, lime (linden) blossom","white musk, birch, amber, patchouli",fruity,rose,musky,sweet,champagne
miss-wild,joop,pink pepper,vanilla,rum,vanilla,rum,soft spicy,sweet,powdery
rose-noire-secret,giorgio-valenti,"bergamot, kumquat, freesia","rose, orchid, tuberose, jasmine","musk, sandalwood, amber, benzoin, patchouli",floral,citrus,rose,powdery,woody
orb-of-night-opulence,ghost,"pink pepper, mandarin orange, orris root","orange blossom, jasmine, tuberose, rose","tonka bean, sandalwood, cacao pod, cappuccino",white floral,citrus,sweet,warm spicy,woody
pomme-d-or,evody-parfums,"lime, bergamot","juniper berries, lotus","virginia cedar, oak moss",citrus,fresh spicy,aromatic,woody,unknown
enrico-coveri-paillettes-nuit,enrico-coveri,"bergamot, peony, freesia","rose, lily-of-the-valley, plum","musk, cedar, patchouli",floral,rose,woody,musky,powdery
kaorikuro,dilis-parfum,"pepper, cardamom, ginger","gardenia, coconut, peony, orange blossom","sandalwood, amber, musk",warm spicy,fresh spicy,white floral,woody,coconut
chic,betty-barclay,"black currant, bergamot, mandarin orange","ylang-ylang, magnolia, rose","vanille, heliotrope, sandalwood",floral,citrus,woody,vanilla,powdery
axis-red-caviar,axis,"pink pepper, tangerine, raspberry, peach, pomegranate","orchid, freesia, rose, heliotrope, violet leaf","sandalwood, vanille, amber, patchouli",woody,sweet,fruity,powdery,floral
legesi-femme,armaf,"peach, lemon, litchi, bergamot","cinnamon, apple, jasmine, lily-of-the-valley","cedar, sandalwood, musk",woody,fruity,powdery,warm spicy,cinnamon
soft-musk-delice-velvet-berries,avon,rhubarb,red berries,sandalwood,fruity,sweet,woody,fresh,sour
ballroom-beauty,avon,"raspberry, strawberry, lemon","rose, violet leaf, jasmine","musk, amber, sandalwood",fruity,sweet,rose,ozonic,musky
mademoiselle-azzaro-l-intense-eau-de-parfum,azzaro,pear,white flowers,calissons d'aix,white floral,fruity,sweet,aquatic,fresh
burberry-summer-women-2009,burberry,"litchi, red currant, mandarin orange, grapes","freesia, cyclamen, jasmine, rose","cedar, sandalwood, musk",fruity,woody,floral,fresh,citrus
anais-anais-eau-legere,cacharel,"lily, tiare flower, frangipani, ylang-ylang, white honey","honeysuckle, jasmine, african orange flower","chocolate flower, vanille, musk",white floral,floral,sweet,yellow floral,unknown
eternity-eau-de-parfum-intense-for-women,calvin-klein,turkish rose,sichuan pepper,jasmine sambac,rose,fresh spicy,white floral,citrus,floral
deep-euphoria-eau-de-toilette,calvin-klein,"water lily, pear",black rose,"woody notes, musk",floral,rose,woody,aquatic,fresh
pure-gold-euphoria-women,calvin-klein,"dates, solar notes, neroli","almond, ylang-ylang, orange blossom, rose","leather, vanilla absolute, benzoin, patchouli, musk",sweet,leather,vanilla,fruity,animalic
alegria-de-vivir,carolina-herrera,"litchi, mandarin orange","peony, rose, cedar","steam accord, rice",rose,floral,fresh,citrus,fruity
cool-water-woman-summer-edition-2019,davidoff,melon,lily-of-the-valley,violet root,ozonic,fresh,aquatic,violet,fruity
dolce-rosa-excelsa,dolce-gabbana,"neroli, papaya flower","rose, turkish rose, water lily, narcissus, amaryllis","musk, cashmere wood, sandalwood",floral,rose,musky,fresh,aquatic
especially-escada-elixir,escada,"pear, grapefruit, ambrette (musk mallow)","turkish rose, plum, dried plum, ylang-ylang","patchouli, white musk, cashmere wood, amber, madagascar vanilla",rose,fruity,musky,sweet,woody
pleasures-pop,estee-lauder,"raspberry, litchi, black currant, freesia, pink grapefruit","lily, pink peony, rose, jasmine","musk, heliotrope, cedar, vanilla, benzoin, cashalox",fruity,floral,white floral,rose,powdery
shakespeare-in-love,a-dozen-roses,pear,"rose, gardenia, jasmine","vanille, woodsy notes",rose,white floral,vanilla,woody,fruity
rebrode,gritti,"fruity notes, lemon, mandarin orange, red berries","passionfruit, floral notes, amber","musk, woody notes, vanilla, patchouli",fruity,sweet,musky,citrus,powdery
boss-alive-eau-de-parfum,hugo-boss,"madagascar vanilla, cinnamon, plum, apple, black currant","jasmine sambac, thyme","woodsy notes, sandalwood, cedar, olive tree",woody,fruity,vanilla,warm spicy,cinnamon
boss-the-scent-for-her-magnetic,hugo-boss,osmanthus,"musk, ambrette (musk mallow)","white musk, amber",musky,floral,fruity,powdery,soft spicy
white-spirit,juliette-has-a-gun,"tuberose, jasmine sambac","tuberose, ambroxan","musk, sandalwood, amber, cedar",white floral,musky,amber,tuberose,woody
flower-by-kenzo,kenzo,"bulgarian rose, hawthorn, black currant, mandarin orange","parma violet, rose, opoponax, jasmine","vanilla, white musk, incense",powdery,floral,violet,rose,amber
ciel-magnolia,kenzo,magnolia,musk,sandalwood,musky,floral,powdery,woody,citrus
l-eau-par-kenzo-colors-pour-femme,kenzo,"white peach, mandarin orange, ginger","jasmine, lily, rose","white musk, cedar",citrus,fruity,white floral,warm spicy,sweet
mod-noir,marc-jacobs,"green notes, yuzu, clementine","gardenia, water lily, tuberose, magnolia","nectarine, orange blossom, musk",white floral,green,citrus,floral,sweet
honey,marc-jacobs,"punch, pear, mandarin orange","honeysuckle, orange blossom, peach","honey, vanilla, woodsy notes",fruity,sweet,white floral,honey,citrus
